count	name
14969	solid
3387	oil
2444	crude product
2056	product
1857	hexanes ethyl acetate
1661	hydrochloride salt
1364	powder
1204	foam
1107	EtOAc hexanes
945	EtOAc-hexanes
871	ethyl acetate hexanes
845	title compound
775	crystals
649	desired product
628	compound
615	SiO2
448	material
394	mixture
387	white solid
334	residue
320	dimethyl acetal
300	liquid
287	gum
265	methyl ester
242	solution
203	ester
180	hexanes EtOAc
177	eluent
171	crystal
168	yellow solid
167	desired compound
165	desired material
160	EtOAc Hexanes
158	alcohol
156	acetate salt
156	crude residue
153	Grignard reagent
138	amine
135	hydrate
121	di-TFA
112	base
110	ethyl ester
101	crude material
99	white crystals
98	final product
96	Heck product with cycooctadiene 1
96	Heck product with cycooctadiene 2
96	Reduced styrene dimer
96	Reduced styrene dimer 2
96	Regioisomer 1
96	Regioisomer 10
96	Regioisomer 2
96	Regioisomer 3
96	Regioisomer 4
96	Regioisomer 5
96	Regioisomer 6
96	Regioisomer 7
96	Regioisomer 8
96	Regioisomer 9
96	Styrene dimer 1
96	Styrene dimer 2
96	Unidentified compound 1
96	Unidentified compound 2
96	Unknown compound 3
96	Unknown Product 4
90	title compounds
88	desired intermediate
87	ethyl acetate petroleum ether
87	needles
86	amide
85	hexanes ether
80	monohydrate
80	pure product
79	10
75	syrup
73	dimaleate
73	II
69	free base
68	1-a
68	Hexanes EtOAc
66	crude oil
66	ethyl acetate-hexanes
66	petroleum ether ethyl acetate
64	aldehyde
64	mono-TFA
63	off-white solid
63	solids
62	hexanes diethyl ether
61	30
61	( d )
61	intermediate
59	hydrogen chloride salt
59	ketone
57	purple solid
56	crude mixture
55	15
55	ammonium salt
54	20
54	aqueous solution
53	diethyl acetal
53	EtOAc—hexanes
52	13
52	carboxylic acid
52	hemihydrate
52	hydrobromide salt
52	m-phenoxybenzyl ester
52	oxalate salt
51	sulfonamide
50	17
48	starting material
47	Formula III
47	oxime
46	salt
45	( 2 )
45	crude compound
45	crude intermediate
44	anhydride
44	expected product
44	yield
42	( 3 )
42	diazonium salt
42	III
42	yellow oil
41	21
41	( b )
40	acid chloride
40	crude base
39	colorless oil
39	imine
38	14
38	40S
38	sulfuric acid ester
37	colorless solid
37	DCM DCM[90] MeOH[7] NH4OH[3]
37	ethylene ketal
36	12
36	brown solid
36	resin
36	white powder
35	( 5 )
35	orange solid
35	oxide
35	polyester
34	18
34	2
34	P(HCOOH)
34	precipitate
33	diol
33	silica gel
33	target compound
32	clear oil
32	dihydrate
32	( I )
32	tan solid
32	yellowish solid
31	dihydrobromide
31	enol
31	light yellow solid
31	pale yellow solid
31	yellow liquid
30	23
30	CH2Cl2 hexanes
30	ether hexanes
30	glass
30	mono-hydrochloride
29	crude solid
29	( E )
29	ether-hexane
29	Phase I
28	3R
28	(D,L)-alanine iso-butyl ester hydrochloride
28	( III )
28	IX
28	semisolid
28	semi-solid
27	12.3
27	22
27	9
27	desired acid
27	Formula II
27	heptanes
27	hydrocarbon
27	light purple solid
27	rust
27	title intermediate
27	VI
26	( A )
26	IV
26	material ( a )
26	Phase II
26	trifluoro acetate
25	16
25	18.5
25	36
24	24
24	27
24	28
24	compound 1
24	compound 5
24	crude crystals
24	Et2O hexanes
24	( II )
24	maleate salt
24	SiO2 hexane ethyl acetate
24	TEA
23	25
23	acyl chloride
23	benzyl ester
23	carboxylate
23	crude yellow oil
23	N4-[4-(N-benzylpiperazino)phenyl)
23	TFA-salt
22	10.5
22	( 4 )
22	( 7 )
22	acid
22	C8
22	formula III
22	HCl-salt
22	olefin
22	titled compound
21	14.5
21	2,5-dichlorobenzophenones
21	35
21	5-g
21	70
21	bis hydrochloride
