rows	name	smiles	verdict	note
42143	hexanes	CCCCCC	ok	n-hexane for the isomer mixture; the 2026-07-11 dictionary made the same call
3690	SiO2	O=[Si]=O	ok	silica
2046	Hexanes	CCCCCC	ok	same
1283	heptanes	CCCCCCC	ok	n-heptane for the isomer mixture
1245	4A	C1CNC(=NC1)C2=CC=CC=C2S	label	4A molecular sieves; returns a benzothiazine from some paper
1092	cuprous iodide	[Cu+].[I-]	ok	
1004	anhydride	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(C[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)O	label	functional class; returns a nucleotide
810	NH4OAc	CC(=O)[O-].[NH4+]	ok	
782	II	CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)N	label	roman-numeral compound label; returns a dipeptide
735	cuprous chloride	Cl[Cu]	ok	
719	dimethyl acetal	CC(OC)OC	label	functional class; returns 1,1-dimethoxyethane
691	3A	CC(C)C1=C(C(=CC=C1)C(C)C)N=CC2=CC=CC=C2[O-].C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C(Cl)Cl.C(Cl)Cl.[Cl-].[Pt+2]	label	3A molecular sieves; returns a rhodium phosphine complex
651	NaH2PO4	OP(=O)(O)[O-].[Na+]	ok	
592	PCy3	C1CCC(CC1)P(C2CCCCC2)C3CCCCC3	ok	
588	imine	C1CC[C@H]2[C@H](C1)N=CC3=NC(=CC=C3)C=N[C@@H]4CCCC[C@H]4N=CC5=CC=CC(=N5)C=N2	label	functional class; returns a macrocyclic Schiff base
498	stannous chloride dihydrate	O.O.Cl[Sn]Cl	ok	
488	KHCO3	C(=O)(O)[O-].[K+]	ok	
485	N,N'-carbonyldiimidazole	C1=CN(C=N1)C(=O)N2C=CN=C2	ok	
484	peroxide	OO	label	returns hydrogen peroxide, which is a guess at what was meant
481	stannous chloride	Cl[Sn]Cl	ok	
469	Mg	[Mg]	ok	
448	NaIO4	[O-]I(=O)(=O)=O.[Na+]	ok	
404	cuprous cyanide	[C-]#N.[Cu+]	ok	
389	ferric chloride	Cl[Fe](Cl)Cl	ok	
383	[Rh(cod)2]BF4	[B-](F)(F)(F)F.C1/C=C\CC/C=C\C1.C1/C=C\CC/C=C\C1.[Rh]	ok	
382	Si	[Si]	ok	
365	Na2S2O5	[O-]S(=O)S(=O)(=O)[O-].[Na+].[Na+]	ok	
356	PtO2	[O-2].[O-2].[Pt+4]	ok	
333	nylon	CCCCCC(=O)N	label	polymer
