name	smiles	source
hexanes	CCCCCC	manual
TEA	CCN(CC)CC	manual
SiO2	O=[Si]=O	manual
Hexanes	CCCCCC	manual
N,N′-Carbonyldiimidazole	O=C(n1ccnc1)n1ccnc1	manual
heptanes	CCCCCCC	manual
N,N′-carbonyldiimidazole	O=C(n1ccnc1)n1ccnc1	manual
cuprous iodide	[Cu][I]	manual
NaSO4	O=S(=O)([O-])[O-].[Na+].[Na+]	manual
NH4OAc	CC(=O)[O-].[NH4+]	manual
N,N-dimethylaminopyridine	CN(C)c1ccncc1	manual
cuprous chloride	[Cl][Cu]	manual
IMS	CCO	manual
NaH2PO4	O=P([O-])(O)O.[Na+]	manual
Mg2SO4	O=S(=O)([O-])[O-].[Mg+2]	manual
PCy3	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1	manual
stannous chloride dihydrate	O.O.[Cl][Sn][Cl]	manual
KHCO3	O=C([O-])O.[K+]	manual
N,N'-carbonyldiimidazole	O=C(n1ccnc1)n1ccnc1	manual
stannous chloride	[Cl][Sn][Cl]	manual
Mg	[Mg]	manual
tetrakistriphenylphosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
CuBr	[Cu][Br]	manual
NaIO4	[Na+].[O-][I+3]([O-])([O-])[O-]	manual
cuprous cyanide	N#[C][Cu]	manual
Na	[Na]	manual
4-N,N-dimethylaminopyridine	CN(C)c1ccncc1	manual
ferric chloride	[Cl][Fe]([Cl])[Cl]	manual
Si	[Si]	manual
Na2S2O5	O=S([O-])S(=O)(=O)[O-].[Na+].[Na+]	manual
PtO2	[O]=[Pt]=[O]	manual
NH4HCO3	O=C([O-])O.[NH4+]	manual
nitro	O=[N+][O-]	OPSIN
reduced iron	[Fe]	manual
stannic chloride	[Cl][Sn]([Cl])([Cl])[Cl]	manual
sodium sulfate anhydride	O=S(=O)([O-])[O-].[Na+].[Na+]	manual
mercuric chloride	[Cl][Hg][Cl]	manual
industrial methylated spirit	CCO	manual
Boc	CC(C)(C)O[C]=O	OPSIN
mercuric acetate	CC(=O)[O-].CC(=O)[O-].[Hg+2]	OPSIN
mercuric oxide	[O]=[Hg]	OPSIN
cuprous bromide	[Cu][Br]	OPSIN
palladium tetrakistriphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
cuprous oxide	[O]=[Cu-]	OPSIN
potassium tert.-butylate	CC(C)(C)[O-].[K+]	OPSIN
amino	[NH2]	OPSIN
ceric ammonium nitrate	O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ce+4].[NH4+]	OPSIN
cupric acetate	CC(=O)[O-].CC(=O)[O-].[Cu+2]	OPSIN
carbonyl	[C]=O	OPSIN
BOC	CC(C)(C)O[C]=O	OPSIN
ferrous sulfate	O=S(=O)([O-])[O-].[Fe+2]	OPSIN
cupric chloride	[Cl][Cu][Cl]	OPSIN
tetrakistriphenylphosphine palladium(0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bromo	[Br]	OPSIN
tetrakistriphenylphosphine palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
ferric chloride hexahydrate	O.O.O.O.O.O.[Cl][Fe]([Cl])[Cl]	OPSIN
potassium t-butylate	CC(C)(C)[O-].[K+]	OPSIN
chloro	[Cl]	OPSIN
aminopropyl	[CH2]CCN	OPSIN
ferrous chloride tetrahydrate	O.O.O.O.[Cl][Fe][Cl]	OPSIN
ethyl acetate	CCOC(C)=O	OPSIN
diazo	[N+]=[N-]	OPSIN
tetrakis triphenylphosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
cupric sulfate	O=S(=O)([O-])[O-].[Cu+2]	OPSIN
hydroxyl	[OH]	OPSIN
ferrous sulfate heptahydrate	O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Fe+2]	OPSIN
ethyl	[CH2]C	OPSIN
Tetrakistriphenylphosphine Palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
methyl	[CH3]	OPSIN
potassium tert.butylate	CC(C)(C)[O-].[K+]	OPSIN
cupric oxide	[O]=[Cu]	OPSIN
tetrakis-triphenylphosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
benzyl	[CH2]c1ccccc1	OPSIN
Stannous chloride dihydrate	O.O.[Cl][Sn][Cl]	OPSIN
cupric chloride dihydrate	O.O.[Cl][Cu][Cl]	OPSIN
palladium tetrakis triphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
azo	[N]=[N]	OPSIN
Cuprous iodide	[Cu][I]	OPSIN
tetrakis triphenylphosphine palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
acetyl	C[C]=O	OPSIN
sodium tert-butylate	CC(C)(C)[O-].[Na+]	OPSIN
ferric nitrate	O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Fe+3]	OPSIN
mercuric sulfate	O=S(=O)([O-])[O-].[Hg+2]	OPSIN
Tetrakis triphenylphosphine Palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bistriphenylphosphine palladium dichloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
dihydrogen	[H][H]	OPSIN
hydroxy	[OH]	OPSIN
tetrahydrofuran-ethyl acetate	C1CCOC1.CCOC(C)=O	OPSIN
L-p-boronophenylalanine	N[C@@H](Cc1ccc(B(O)O)cc1)C(=O)O	OPSIN
methoxy	C[O]	OPSIN
ozonide	[O]O[O-]	OPSIN
tetrakis-triphenylphosphane palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
2-(1H-benzo[d][1,2,3]triazol-1-yl)-1,1,3,3-tetramethylisouronium tetrafluoroborate	CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[B-](F)(F)F	OPSIN
hydroxymethyl	[CH2]O	OPSIN
vinyl	[CH]=C	OPSIN
Nitro	O=[N+][O-]	OPSIN
nitroso	[N]=O	OPSIN
hexamethyleneimine	C1CCCNCC1	OPSIN
methanol-toluene	CO.Cc1ccccc1	OPSIN
silyl	[SiH3]	OPSIN
Ferric chloride	[Cl][Fe]([Cl])[Cl]	OPSIN
oxo	[O]	OPSIN
tert-butoxycarbonyl	CC(C)(C)O[C]=O	OPSIN
methylene	[CH2]	OPSIN
titanium tetra-iso-propoxide	CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4]	OPSIN
R-3-aminoquinuclidine dihydrochloride	Cl.Cl.N[C@H]1CN2CCC1CC2	OPSIN
Cuprous chloride	[Cl][Cu]	OPSIN
Stannous chloride	[Cl][Sn][Cl]	OPSIN
iodo	[I]	OPSIN
R-(+)-propylene oxide	C[C@@H]1CO1	OPSIN
bistriphenylphosphine palladium(II)chloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
ferrous chloride	[Cl][Fe][Cl]	OPSIN
magnesium salt hexahydrate	O.O.O.O.O.O.[Mg]	OPSIN
mercuric diacetate	CC(=O)[O-].CC(=O)[O-].[Hg+2]	OPSIN
(2′-dicyclohexyl phosphanyl-biphenyl-2-yl)-dimethylamine	CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1	OPSIN
TBDMS	C[Si](C)C(C)(C)C	OPSIN
cupric sulfate pentahydrate	O.O.O.O.O.O=S(=O)([O-])[O-].[Cu+2]	OPSIN
Fmoc	O=[C]OCC1c2ccccc2-c2ccccc21	OPSIN
cupric bromide	[Br][Cu][Br]	OPSIN
cyano	[C]#N	OPSIN
lithio	[Li]	OPSIN
tetrakis-triphenylphosphine palladium(0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Cuprous cyanide	N#[C][Cu]	OPSIN
ferric sulfate	O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Fe+3].[Fe+3]	OPSIN
paratoluenesulfonic acid	Cc1ccc(S(=O)(=O)O)cc1	OPSIN
Stannic chloride	[Cl][Sn]([Cl])([Cl])[Cl]	OPSIN
ethanol-toluene	CCO.Cc1ccccc1	OPSIN
ferrous sulphate	O=S(=O)([O-])[O-].[Fe+2]	OPSIN
potassium tert-butylate	CC(C)(C)[O-].[K+]	OPSIN
potassium tert. butylate	CC(C)(C)[O-].[K+]	OPSIN
sodium tert.-butylate	CC(C)(C)[O-].[Na+]	OPSIN
bis-triphenylphosphine palladium dichloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
formyl	[CH]=O	OPSIN
mercuric cyanide	N#[C][Hg][C]#N	OPSIN
sodium t-pentoxide	CCC(C)(C)[O-].[Na+]	OPSIN
Mercuric oxide	[O]=[Hg]	OPSIN
