name	smiles
hexanes	CCCCCC
Hexanes	CCCCCC
heptanes	CCCCCCC
TEA	CCN(CC)CC
N,N-dimethylaminopyridine	CN(C)c1ccncc1
4-N,N-dimethylaminopyridine	CN(C)c1ccncc1
N,N′-Carbonyldiimidazole	O=C(n1ccnc1)n1ccnc1
N,N′-carbonyldiimidazole	O=C(n1ccnc1)n1ccnc1
N,N'-carbonyldiimidazole	O=C(n1ccnc1)n1ccnc1
cuprous iodide	[Cu][I]
cuprous chloride	[Cl][Cu]
cuprous cyanide	N#[C][Cu]
CuBr	[Cu][Br]
stannous chloride	[Cl][Sn][Cl]
stannous chloride dihydrate	O.O.[Cl][Sn][Cl]
stannic chloride	[Cl][Sn]([Cl])([Cl])[Cl]
ferric chloride	[Cl][Fe]([Cl])[Cl]
mercuric chloride	[Cl][Hg][Cl]
NaIO4	[Na+].[O-][I+3]([O-])([O-])[O-]
PtO2	[O]=[Pt]=[O]
Mg	[Mg]
Na	[Na]
reduced iron	[Fe]
Si	[Si]
NH4OAc	CC(=O)[O-].[NH4+]
NH4HCO3	O=C([O-])O.[NH4+]
KHCO3	O=C([O-])O.[K+]
NaH2PO4	O=P([O-])(O)O.[Na+]
Na2S2O5	O=S([O-])S(=O)(=O)[O-].[Na+].[Na+]
NaSO4	O=S(=O)([O-])[O-].[Na+].[Na+]
Mg2SO4	O=S(=O)([O-])[O-].[Mg+2]
sodium sulfate anhydride	O=S(=O)([O-])[O-].[Na+].[Na+]
PCy3	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1
SiO2	O=[Si]=O
IMS	CCO
industrial methylated spirit	CCO
