name	status	smiles	lines	seconds	throttle
Polyethyleneglycol 400	404		0	0.193	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (30%)
acylated diphenyl ether	404		0	0.163	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (23%)
Dibenzyl ester	200	C1=CC=C(C=C1)COCC2=CC=CC=C2	1	0.182	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (33%)
bis(4-biphenyl)amine	404		0	0.166	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (27%)
2-(3-chloro-4-dimethylcarbamoylthio)phenyl propionic acid methyl ester	404		0	0.186	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (17%)
N-propylphosphonic acid anhydride	200	CCCP1(=O)OP(=O)(OP(=O)(O1)CCC)CCC	1	0.201	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (30%)
10c	404		0	0.16	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (10%)
L(iPr2)Ni(ηl-CH2Ph)(PMe3)	404		0	0.165	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (17%)
Example 7(a) ( 5 )	404		0	0.168	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (17%)
W-Carbonate	404		0	0.174	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (20%)
saturated aliphatic hydrocarbons	404		0	0.173	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (33%)
Example 52 ( 2 )	404		0	0.175	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (20%)
1H-indol 3-O-pyrrolidine-2,5-dione	404		0	0.182	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (20%)
1.e	404		0	0.168	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (10%)
dichloromethane ether petroleum ether	404		0	0.165	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (17%)
persulfates	404		0	0.164	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (17%)
propane-1,3-diamne	404		0	0.19	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (20%)
4-N,N-dimethylaminocrotonoyl chloride hydrochloride	404		0	0.19	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (17%)
C18:1 methyl ester	404		0	0.172	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (20%)
acylisocyanate	404		0	0.164	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (27%)
halogenated thiochroman-4-one	404		0	0.165	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (13%)
1-chloro-N,N-2-trimethylprop-1-en-1-amine	404		0	0.162	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (13%)
