name	status	smiles	lines	seconds	throttle
title material	404		0	0.217	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (27%)
NaH2PO4	200	OP(=O)(O)[O-].[Na+]	1	0.221	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (30%)
EA hexanes	404		0	0.171	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (27%)
peroxide	200	OO	1	0.212	Request Count status: Green (0%), Request Time status: Green (0%), Service status: Green (30%)
Hexanes	200	CCCCCC	1	0.215	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (27%)
imine	200	C1CC[C@H]2[C@H](C1)N=CC3=NC(=CC=C3)C=N[C@@H]4CCCC[C@H]4N=CC5=CC=CC(=N5)C=N2	1	0.227	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (23%)
Na2SO4.10H2O	200	O.O.O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Na+].[Na+]	1	0.213	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (30%)
Si PCC	404		0	0.173	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (37%)
1-L	404		0	0.177	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (30%)
NaCO3	404		0	0.174	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (17%)
TEA	404		0	0.154	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (47%)
40S	404		0	0.166	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (47%)
final compound	404		0	0.187	Request Count status: Green (1%), Request Time status: Green (0%), Service status: Green (17%)
ether-pentane	404		0	0.155	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (23%)
1E	404		0	0.158	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (37%)
oxalate salt	404		0	0.293	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (33%)
stannic chloride	200	Cl[Sn](Cl)(Cl)Cl	1	0.233	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Green (23%)
Heterocycles	200	COC(=O)CC1CCOCC1	1	0.219	Request Count status: Green (2%), Request Time status: Green (0%), Service status: Yellow (53%)
3G OMs tBuBrettPhos	404		0	0.218	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (27%)
paraffin	404		0	0.174	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (30%)
Petroleum ether	404		0	0.17	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (23%)
epoxide	200	C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2	1	0.197	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (40%)
hydrazide	404		0	0.173	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (37%)
xylenes	404		0	0.172	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (43%)
cuprous iodide	200	[Cu+].[I-]	1	0.217	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (27%)
CrO3	200	O=[Cr](=O)=O	1	0.221	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (30%)
N-Aryl-benzenesulfonamides	404		0	0.196	Request Count status: Green (3%), Request Time status: Green (0%), Service status: Green (37%)
monohydrate	404		0	0.167	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (40%)
diazonium	200	[NH+]#N	1	0.212	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (33%)
expected compound	404		0	0.177	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (43%)
hexanes	200	CCCCCC	1	0.202	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Yellow (50%)
C1-358	404		0	0.174	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Green (33%)
N,N-dimethylaminopyridine	404		0	0.214	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Green (43%)
dichloromethane hexanes	404		0	0.206	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Green (43%)
desired intermediate	404		0	0.225	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (33%)
RaNi 4100	404		0	0.174	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (30%)
Na2S2O5	200	[O-]S(=O)S(=O)(=O)[O-].[Na+].[Na+]	1	0.205	Request Count status: Green (4%), Request Time status: Green (0%), Service status: Green (37%)
nitrile	404		0	0.188	Request Count status: Green (5%), Request Time status: Green (0%), Service status: Green (47%)
petrol ether	404		0	0.182	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Green (47%)
N,N'-carbonyldiimidazole	200	C1=CN(C=N1)C(=O)N2C=CN=C2	1	0.202	Request Count status: Green (6%), Request Time status: Green (0%), Service status: Green (47%)
