name	status	smiles	lines	seconds	throttle
5-dinitrothiophene	500		0	0.279	
enols	200	OC=C	1	0.48	
dichlorobis(triphenylphopsphine)palladium(II)	500		0	0.263	
2-ohloro-5-(3,6-dihydro-2,6-dioxo-3-methyl-4-trifluoromethyl-1-(2H)pyrimidinyl)-benzoic acid 1-allyloxycarbonyl-1-methyl-ethyl-ester	500		0	0.277	
title intermediate 26	500		0	0.261	
diarylalkyl ketone	500		0	0.259	
RhCl (PPh3)3	500		0	0.288	
trans-dibromobis(triphenylphosphine) palladium (II)	500		0	0.261	
two 126-L	500		0	0.265	
H2(g)-Pd/C	404		0	0.122	
artificial special compound	500		0	0.254	
dioxane HCl(gas)	500		0	0.255	
C31H35N7O5	500		0	0.269	
palladium tetrakis(triphenyphosphine)	500		0	0.259	
butanol-toluene	200	CCCCO.Cc1ccccc1	1	0.503	
Example 137A	500		0	0.275	
Phenyl Amines	500		0	0.272	
acetate salt	500		0	0.261	
Example 82A	500		0	0.282	
methyl 6-phthalimido-2β-chloromethylpenam-2α-methyl-3-carboxylate	500		0	0.267	
Potassium t-pentylat	500		0	0.286	
N-substituted o-phenylenediamine	500		0	0.283	
diether alcohol	500		0	0.276	
salicycilic acid	500		0	0.279	
amino- or nitro-quinoline	500		0	0.263	
(1S)-1,8,8-trimethyl	500		0	0.254	
N-dimethyl-hydroxylamine hydrochloride	500		0	0.29	
liquified gas	500		0	0.26	
XXIII	500		0	0.292	
phthalidyl-3-triphenylphosphonium chloride	500		0	0.267	
20v/v	404		0	0.116	
alkanoic acids	500		0	0.256	
O,O'-dibenzoyl-D-tartaric anhydride	URLError		0	0.084	
N-(4-Pyridyl) Dodecyl Carbamate	URLError		0	0.075	
5-acetylthio	URLError		0	0.07	
5-mercapto-3H-6,7,8,9,10,11,12,13-octahydrocycloheptacycodecen-3	URLError		0	0.077	
125628g	URLError		0	0.14	
Zn(BH3CN)2	URLError		0	0.105	
borontrifluoride etherate BF3.Et2O	URLError		0	0.079	
Ru2Cl4 [(R)-T-BINAP]2NEt3	URLError		0	0.08	
trimethyl silyl triflate	URLError		0	0.074	
2-(p-fluorophenyl)-8-methoxypyrazolo	URLError		0	0.085	
2hydrochloric acid	URLError		0	0.078	
ethyl halide	URLError		0	0.073	
bis(triphenyphosphine) dichloropalladium	URLError		0	0.077	
cycloalkanol	URLError		0	0.078	
Compound ( 42 )	URLError		0	0.075	
3-[N,N-bis(2-Hydroxyethyl)methylamino]-2-hydroxypropanesulfonic acid	URLError		0	0.08	
PF-01003838-00-0001	URLError		0	0.072	
Formula 108	URLError		0	0.077	
complex ( 4 )	URLError		0	0.075	
C20H18Cl2N4O2	URLError		0	0.196	
Intermediate 18a	URLError		0	0.125	
compound 176	URLError		0	0.083	
toluene PhMe	URLError		0	0.08	
Example 167B	URLError		0	0.08	
Intermediate 19.6	URLError		0	0.08	
0-lower alkylphosphono	URLError		0	0.082	
N-(8-oxo-4-oxa-1,7-diaza-tricyclo-[9.6.1.012,17 ]-octadeca-11(18),12,14,16-tetraen-9S-yl)-3(R)-(3-phenyl-1H-pyrrol-1-yl)succinamic acid benzyl ester	URLError		0	0.08	
CHCl3 petrol ether	URLError		0	0.087	
S-heterocyclic	URLError		0	0.079	
palladium tetrakis(triphenylphoshine)	URLError		0	0.079	
solvent A	URLError		0	0.079	
1200s	URLError		0	0.086	
