dataset_id,position,signature,count,example
00005539a1e04c809a9a78647bea649c,provenance.experiment_start,NN/NN/NNNN,750,07/01/2008
00005539a1e04c809a9a78647bea649c,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN AP",750,"10/19/2021, 12:16:25 PM"
00005539a1e04c809a9a78647bea649c,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,750,Fri Oct 22 22:19:55 2021
0316886541d9435489859c2ad7edc863,outcomes[].analyses{}.instrument_last_calibrated,,96,
0316886541d9435489859c2ad7edc863,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",96,"5/17/2023, 6:01:47 PM"
0316886541d9435489859c2ad7edc863,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,96,Sat Jun 10 23:28:33 2023
0c75d67751634f0594b24b9f498b77c2,outcomes[].analyses{}.instrument_last_calibrated,,256,
0c75d67751634f0594b24b9f498b77c2,provenance.record_created.time,"N/N/NNNN, NN:NN:NN AP",256,"2/4/2021, 11:24:34 AM"
0c75d67751634f0594b24b9f498b77c2,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,256,Thu Mar  4 18:28:05 2021
0c75d67751634f0594b24b9f498b77c2,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,256,2021-03-04 15:28:23.848996
10b940e7982c4622b1e1ac879394aba6,outcomes[].analyses{}.instrument_last_calibrated,,384,
10b940e7982c4622b1e1ac879394aba6,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",384,"3/24/2021, 1:51:15 PM"
10b940e7982c4622b1e1ac879394aba6,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,384,Tue Apr  6 19:24:51 2021
1158e351757f315b93cbcbe7bc55f38e,provenance.record_created.time,NNNN-NN-NN NN:NN:NN,1,2022-12-02 19:09:01
1158e351757f315b93cbcbe7bc55f38e,provenance.record_created.time,NNNN-NN-NN NN:NN:NN.NNNNNN,1771031,2022-12-02 17:42:01.780701
1158e351757f315b93cbcbe7bc55f38e,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,1771032,Mon Dec  5 21:03:24 2022
1158e351757f315b93cbcbe7bc55f38e,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1771032,Fri Oct 18 17:39:39 2024
172039a759a440219a68af62d203b79b,outcomes[].analyses{}.instrument_last_calibrated,,104,
172039a759a440219a68af62d203b79b,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",104,"18/09/2024, 16:54:56"
172039a759a440219a68af62d203b79b,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,104,Thu Oct 10 13:10:12 2024
1d3a1a6fb70d46c084602d0688967afc,outcomes[].analyses{}.instrument_last_calibrated,,96,
1d3a1a6fb70d46c084602d0688967afc,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",96,"5/17/2023, 6:01:47 PM"
1d3a1a6fb70d46c084602d0688967afc,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,96,Sat Jun 10 23:28:31 2023
1ec2807f02fa4beda27d2a81b86eb843,outcomes[].analyses{}.instrument_last_calibrated,,1227,
1ec2807f02fa4beda27d2a81b86eb843,provenance.experiment_start,NNNN-NN-NNWNN:NN:NN,1227,2025-01-01T00:00:00
1ec2807f02fa4beda27d2a81b86eb843,provenance.record_created.time,NNNN-NN-NNWNN:NN:NN,1227,2025-12-19T10:27:58
1ec2807f02fa4beda27d2a81b86eb843,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1227,Fri Mar 13 17:01:39 2026
2038a3c967db4a32a8fbce288437e929,outcomes[].analyses{}.instrument_last_calibrated,,96,
2038a3c967db4a32a8fbce288437e929,provenance.record_created.time,NNNN-NN-NN NN:NN:NN.NNNNNN,96,2023-06-12 13:49:02.639583
2038a3c967db4a32a8fbce288437e929,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,96,Mon Jun 12 14:18:19 2023
2be11f57f3304e678ea8469baf6dd1bc,outcomes[].analyses{}.instrument_last_calibrated,,1152,
2be11f57f3304e678ea8469baf6dd1bc,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",1152,"01/08/2024, 17:25:29"
2be11f57f3304e678ea8469baf6dd1bc,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1152,Thu Oct 10 10:22:03 2024
2be30f5d8dcd471aa6ad410bdee05902,outcomes[].analyses{}.instrument_last_calibrated,,97,
2be30f5d8dcd471aa6ad410bdee05902,provenance.record_created.time,NNNN-NN-NN NN:NN:NN.NNNNNN,97,2023-06-12 13:49:03.564754
2be30f5d8dcd471aa6ad410bdee05902,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,97,Mon Jun 12 14:18:20 2023
31989f1b2b9d4885b1dd2d9982da4517,outcomes[].analyses{}.instrument_last_calibrated,,96,
31989f1b2b9d4885b1dd2d9982da4517,provenance.record_created.time,NNNN-NN-NN NN:NN:NN.NNNNNN,96,2023-06-12 13:49:00.704776
